"name","alt.name","venue"
"","AMERICA OF COLORADO GLADIADORES 00","FWRL Desert 2000 U18"
"","Blitzz FC Gold (MT)","Region IV Pres Cup U17"
"","Club America of CO Gladiadores 00 (CO) (SC)","Far West Regionals U17"
"","Cook Inlet S.C. 00B (AK)","Region IV Pres Cup U17"
"","F.C Deportivo UdeG (CA-S)","Region IV Pres Cup U17"
"","FC Man United - B2000 Red","FWRL CAS B00"
"","Gremio FC (UT)","Region IV Pres Cup U17"
"","Inter America Halcones FC (CA-S)","Region IV Pres Cup U17"
"","LA Galaxy OC - B2000 Premier","FWRL CAS B00"
"","Lake Hills Synergy (WA)","Region IV Pres Cup U17"
"","Las Vegas All-Star FA (NV)","Region IV Pres Cup U17"
"","NCU Manchester United (CA-N)","Region IV Pres Cup U17"
"","Rebels Soccer Club - B00 Elite","FWRL CAS B00"
"","Rush 00B (HI) (SC)","Far West Regionals U17"
"","Rush 00B Nero (HI) (SQ)","Far West Regionals U17"
"","SMUFC B2000 Blue","FWRL CAS B00"
"","St. Vrain FC Green (CO)","Region IV Pres Cup U17"
"","TFA Barcelona AZ (AZ)","Region IV Pres Cup U17"
"AC Brea Red B00","AC Brea - B00 RED","FWRL CAS B00"
"Academia de Futebol ADF B00","ADF 00B (OR)","Nike Crossfire Challenge Gold Group U18"
"Academia Leon B00","Academia Leon FC 00B","PTT B00 BHS"
"Alaska YS ADP B00","ALASKA YOUTH SOCCER ADP 00B (AK)","Timbers Winter Showcase 2000 FWRL U18"
"Anaheim FC PDA B00","Anaheim FC PDA B2000","FWRL CAS B00"
"Arsenal FC Pre-Academy B00","ARSENAL B00 ARSENAL PRE ACADEMY (CAS)","Nike Crossfire Challenge Super Group U18"
"ASE Emerald B00","ASE B00 EMERALD (WA)","Nike Crossfire Challenge Gold Group U18"
"ASE Emerald B00","ASE B00 Emerald Stout","PSPL WNPL U18"
"Avalanche FC Apex College Prep B00","AFC Apex 00 CP (UT) (SC)","Far West Regionals U17"
"Avanti United B00","LSDSC Avanti United FC B99","SSUL B00 19 Division 3"
"BIFC Blue B01","Bainbridge Island FC Blue B01","Crossfire Select U18 Gold"
"Boise Nationals Timbers Blue B00","Boise Nationals Timbers 2000 Blue (ID) (SC)","Far West Regionals U17"
"Boise Nationals Timbers Blue B00","BOISE NATIONALS TIMBERS BNT 2000 BOYS BLUE (ID)","Timbers Winter Showcase 2000 FWRL U18"
"Boise Nationals Timbers Red B00","BNT BOYS 2000 RED","FC Nova Fall Showcase U17/18 Boys"
"Breakers Derby B00","BREAKERS FC DERBY B00 (WA)","WA Cup Silver U18"
"Breakers Derby B00","BREAKERS BREAKER HS BOYS 01/00 (WA)","Timbers Winter Showcase 2000 Showcase U18"
"BSC Portland Black B00","BSC OREGON 00B BLACK (OR)","Nike Crossfire Challenge Gold Group U18"
"BYSL Ballistic SC B00","BYSL BALLISTIC '99 BOYS","Yellowstone Cup Boys U18/19"
"CAN Timbers B00","TIMBERS 00B","FWRL CAN CRL U18"
"Cascade FC Green B00","Cascade FC B2000","PSPL WSPL 2 U18"
"Cascade FC Green B00","CASCADE FC B2000 (WA)","WA Cup Silver U18"
"CCV Stars Black B00","CCV 00 Boys (AZ) (SC)","Far West Regionals U17"
"CCV Stars Black B00","CCV STARS 00 BOYS","FWRL Desert 2000 U18"
"Central WA SA Grey B00","CENTRAL WASHINGTON CWSA B00 GREY (WA)","WA Cup Gold U18"
"Central WA SA Grey B00","CWSA B00 Grey A. Cuevas","PSPL WNPL U18"
"CGA Academy SC Elite B00","CGA ACADEMY ELITE","FC Nova Fall Showcase U17/18 Boys"
"CGA Academy SC Elite B00","CGA Academy Elite (ID)","Region IV Pres Cup U17"
"Crescenta Valley SC Blue B00","Crescenta Valley SC B00","FWRL CAS B00"
"Crossfire Premier A B00","Crossfire Premier B00 A","RCL B00 Div 1"
"Crossfire Premier A B00","CROSSFIRE PREMIER B00 A (WA)","Nike Crossfire Challenge Super Group U18"
"Crossfire Premier A B00","CROSSFIRE PREMIER CROSSFIRE B00A","Showcase of Champions U18 Boys"
"Crossfire Premier B B00","Crossfire Premier B00 B","RCL B00 Div 1"
"Crossfire Premier B B00","CROSSFIRE PREMIER CROSSFIRE B00 WISKEL (WA)","Nike Crossfire Challenge Super Group U18"
"Crossfire Premier C B00","Crossfire Premier B00 C","RCL B00 Div 3"
"Crossfire Premier C B00","CROSSFIRE PREMIER B00C (WA)","Nike Crossfire Challenge Silver Group U18"
"Crossfire Select Button B00","CFS B00 Button","RCL B00 Div 3"
"Crossfire Select Button B00","CROSSFIRE SELECT BUTTON B'00 (WA)","Nike Crossfire Challenge Silver Group U18"
"Crossfire Select Cantrell B00","Crossfire Select B00 Cantrell","NPSL DIVISION 1 (00) U18"
"Crossfire Select Perry B01","Crossfire Select B01 Perry","Crossfire Select U18 Gold"
"Crossfire Select Taylor B01","Crossfire Select B01 Taylor","Crossfire Select U18 Gold"
"Crossfire Yakima A B00","Crossfire Yakima -B00 A","RCL B00 Div 2"
"Delta Coastal Selects B00","DELTA COASTAL SELECTS (CND)","Nike Crossfire Challenge Gold Group U18"
"Downtown LVSC Academy B00","DOWNTOWN LVSC 00 ACADEMY","FWRL Desert 2000 U18"
"Downtown LVSC Academy B00","Downtown LVSC 00 Academy (NV) (FWD)","Far West Regionals U17"
"Eastside FC Blue B00","Eastside FC B00 Blue C","RCL B00 Div 3"
"Eastside FC Red B00","EASTSIDE FC B'00 RED","Showcase of Champions U18 Boys"
"Eastside FC Red B00","Eastside FC B00 Red A","RCL B00 Div 1"
"Eastside FC White B00","Eastside FC B00 White B","RCL B00 Div 2"
"Eastside FC White B00","EASTSIDE FC B00 WHITE B","Showcase of Champions U18 Boys"
