"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2017-06-01,"Edmonton Drillers B01",2,"Crossfire Premier USSDA B03",1,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-02,"Eastside FC White B01",2,"Edmonton Drillers B01",1,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-02,"MVP Rapids Navy B01",1,"Crossfire Premier A B01",9,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-02,"WPFC White B01",2,"ISC Gunners A B01",1,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-02,"Edmonton Drillers B01",0,"WA Rush B01",0,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-02,"Missoula Strikers White B01",0,"Crossfire Premier A B02",2,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"Whatcom Rangers Gold B01",0,"Crossfire Premier A B02",2,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"Edmonton Drillers B01",0,"WPFC Black B01",3,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"Missoula Strikers White B01",2,"ISC Gunners A B01",1,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"Eastside FC White B01",0,"Westside Timbers Copa B01",3,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"Crossfire Premier A B01",0,"WA Rush B01",1,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"ISC Gunners A B01",0,"MVP Rapids Navy B01",1,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"WPFC White B01",0,"Whatcom Rangers Gold B01",1,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"Eastside FC White B01",4,"Missoula Strikers White B01",2,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"Westside Timbers Copa B01",2,"Crossfire Premier A B01",3,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"WPFC Black B01",3,"WA Rush B01",1,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-03,"WPFC White B01",1,"Crossfire Premier A B02",3,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-04,"Missoula Strikers White B01",0,"Whatcom Rangers Gold B01",4,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-04,"Crossfire Premier A B02",2,"MVP Rapids Navy B01",1,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-04,"WA Rush B01",2,"Westside Timbers Copa B01",2,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-04,"WPFC Black B01",0,"Eastside FC White B01",0,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-04,"Missoula Strikers White B01",0,"Crossfire Premier A B01",1,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-04,"WPFC White B01",2,"MVP Rapids Navy B01",0,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-04,"WPFC Black B01",1,"Westside Timbers Copa B01",0,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-04,"Whatcom Rangers Gold B01",1,"ISC Gunners A B01",2,"Showcase of Champions U17/16 Boys","neutral","neutral","Grass"
2017-06-09,"PVSC United Benfica B01",0,"BYSL Elite United B00",3,"Yellowstone Cup Boys U17","neutral","neutral","Grass"
2017-06-09,"Teton FC B00",0,"Real Middleton AC Milan B00",5,"Yellowstone Cup Boys U17","neutral","neutral","Grass"
2017-06-09,"Teton FC B00",2,"PVSC United Benfica B01",5,"Yellowstone Cup Boys U17","neutral","neutral","Grass"
2017-06-09,"BYSL Elite United B00",2,"Real Middleton AC Milan B00",1,"Yellowstone Cup Boys U17","neutral","neutral","Grass"
2017-06-10,"BYSL Elite United B00",5,"Teton FC B00",0,"Yellowstone Cup Boys U17","neutral","neutral","Grass"
2017-06-10,"Real Middleton AC Milan B00",6,"PVSC United Benfica B01",0,"Yellowstone Cup Boys U17","neutral","neutral","Grass"
2017-06-10,"BYSL Elite United B00",1,"Real Middleton AC Milan B00",0,"Yellowstone Cup Boys U17","neutral","neutral","Grass"
2017-06-16,"NPSA Titans Navy B01",6,"Liga Tlaxtli FC Guerreros B01",0,"Skagit Firecracker Div. 1 U17","neutral","neutral","Grass"
2017-06-16,"STU Evolution Black B01",1,"Eclipse FC B01",1,"Starfire Spring Classic BU17","neutral","neutral","Turf"
2017-06-16,"ISC Gunners B B01",0,"NSC Green Wave B01",3,"Starfire Spring Classic BU17","neutral","neutral","Turf"
2017-06-17,"Liga Tlaxtli FC Guerreros B01",2,"EPIC B01",0,"Skagit Firecracker Div. 1 U17","neutral","neutral","Grass"
2017-06-17,"NPSA Titans Navy B01",2,"NPSA Titans White B01",2,"Skagit Firecracker Div. 1 U17","neutral","neutral","Grass"
2017-06-17,"EPIC B01",1,"NPSA Titans White B01",7,"Skagit Firecracker Div. 1 U17","neutral","neutral","Grass"
2017-06-17,"BIFC Blue B01",2,"NWSC Deception FC B01",1,"Skagit Firecracker Div. 2 U17","neutral","neutral","Grass"
2017-06-17,"Seattle United S Blue B01",1,"Snohomish United Red B01",3,"Skagit Firecracker Div. 2 U17","neutral","neutral","Grass"
2017-06-17,"PSA Force Black B01",1,"Whatcom Rangers White B01",6,"Skagit Firecracker Div. 2 U17","neutral","neutral","Grass"
2017-06-17,"NWSC Deception FC B01",0,"Snohomish United Red B01",6,"Skagit Firecracker Div. 2 U17","neutral","neutral","Grass"
2017-06-17,"PSA Force Black B01",1,"BIFC Blue B01",1,"Skagit Firecracker Div. 2 U17","neutral","neutral","Grass"
2017-06-17,"Fraser Valley Selects B01",1,"STU Evolution Black B01",0,"Starfire Spring Classic BU17","neutral","neutral","Turf"
2017-06-17,"Eclipse FC B01",2,"NSC Green Wave B01",0,"Starfire Spring Classic BU17","neutral","neutral","Unk"
2017-06-17,"STU Evolution Black B01",6,"ISC Gunners B B01",0,"Starfire Spring Classic BU17","neutral","neutral","Turf"
2017-06-17,"NSC Green Wave B01",1,"Fraser Valley Selects B01",5,"Starfire Spring Classic BU17","neutral","neutral","Turf"
2017-06-17,"Eclipse FC B01",2,"ISC Gunners B B01",1,"Starfire Spring Classic BU17","neutral","neutral","Turf"
2017-06-18,"NPSA Titans White B01",2,"Liga Tlaxtli FC Guerreros B01",1,"Skagit Firecracker Div. 1 U17","neutral","neutral","Grass"
2017-06-18,"EPIC B01",0,"NPSA Titans Navy B01",5,"Skagit Firecracker Div. 1 U17","neutral","neutral","Grass"
2017-06-18,"NPSA Titans White B01",2,"NPSA Titans Navy B01",0,"Skagit Firecracker Div. 1 U17","neutral","neutral","Grass"
2017-06-18,"Whatcom Rangers White B01",1,"Seattle United S Blue B01",4,"Skagit Firecracker Div. 2 U17","neutral","neutral","Grass"
