"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"Crossfire Premier USSDA B03",2015,99.47,45.78,8,"WA","Redmond","",""
"Seattle United Copa B03",1893,55.89,34.91,47,"WA","Seattle","RCL B03 Div 1",""
"Crossfire Premier A B03",1832,37.18,34.32,52,"WA","Redmond","RCL B03 Div 2",""
"NW United Black B03",1825,35.84,34.03,49,"WA","Burlington","RCL B03 Div 1",""
"PacNW Maroon B03",1819,44.99,25.93,48,"WA","Tukwila","RCL B03 Div 1",""
"WA Rush B03",1779,41.09,21.6,47,"WA","Everett","RCL B03 Div 1",""
"FC Portland Navy B03",1748,36.64,19.45,30,"OR","Portland","PTT B03 Div 1 Green",""
"WPFC Black B03",1743,43.2,16.01,42,"WA","Tacoma","RCL B03 Div 1",""
"Idaho Rush Premier B03",1742,30.43,22.54,14,"ID","Boise","",""
"GS Surf A B03",1735,29.38,22.16,37,"WA","Bothel","RCL B03 Div 1",""
"Seattle United Tango B03",1733,35.23,18.29,36,"WA","Seattle","RCL B03 Div 1",""
"Eastside FC Red B03",1733,46.41,13.84,41,"WA","Preston","RCL B03 Div 1",""
"Crossfire Yakima B B03",1689,20.01,23.73,13,"WA","Sunnyside","",""
"Westside Timbers Copa B03",1684,27.61,16.59,49,"OR","Beaverton","PTT B03 Div 1 Green",""
"Snohomish United Black B03",1675,30.99,13.9,45,"WA","Snohomish","RCL B03 Div 2",""
"Salem Chelsea B03",1671,29.85,14.07,29,"OR","Salem","PTT B03 Div 1 Green",""
"Eastside Timbers Black 1 B03",1652,13.45,27.27,10,"OR","Gresham","",""
"Capital FC Timbers Red B03",1651,18.58,19.69,26,"OR","Salem","",""
"4-H FC Joga B03",1638,31.82,10.43,17,"OR","","",""
"Washington Timbers Red 1 B03",1636,23.62,13.96,38,"WA","Vancouver","RCL B03 Div 2",""
"4-H McMinnville United B03",1636,38.47,8.56,14,"OR","","PTT B03 Div 1 Green",""
"NPSA Titans Navy B03",1634,25.25,12.83,36,"WA","Bellevue","PSPL WNPL U15","WA Cup Gold U15"
"Dragons FC B03",1634,27.33,11.83,41,"WA","Seattle","PSPL WNPL U15","WA Cup Gold U15"
"WAFC Real Madrid B03",1633,30.31,10.62,21,"OR","Woodburn","",""
"LASC Cuervos B03",1631,26.23,12.08,14,"OR","NE Portland","PTT B03 Div 1 Green",""
"Washington East SC B03",1623,14.82,20.27,32,"WA","Spokane","PSPL WNPL U15",""
"PacNW Blue B03",1616,26.82,10.66,43,"WA","Tukwila","RCL B03 Div 2",""
"Crossfire Premier B B03",1610,22.72,12.06,38,"WA","Redmond","RCL B03 Div 4",""
"GPS Oregon B03",1604,26.57,9.91,26,"OR","","PSPL WSPL 1 U15",""
"ISC Gunners A B03",1601,18.2,14.2,48,"WA","Issaquah","PSPL WNPL U15","WA Cup Gold U15"
"Spokane Sounders A B03",1599,18.29,13.88,34,"WA","Spokane","RCL B03 Div 3",""
"Blackhills FC Black B03",1598,23.19,10.87,38,"WA","Olympia","RCL B03 Div 3",""
"Wenatchee FC Black B03",1593,17.29,14.12,33,"WA","Wenatchee","PSPL WNPL U15","WA Cup Gold U15"
"Eastside FC White B03",1592,17.41,13.95,50,"WA","Preston","RCL B03 Div 2",""
"STU Chelsea Academy B03",1579,20.04,11.06,37,"WA","Tacoma","RCL B03 Div 4",""
"Southside SC Azul B03",1573,17.33,12.22,35,"OR","Tigard","PTT B03 Div 1 White",""
"HSC Bayern B03",1572,19.07,11.07,26,"OR","Hillsboro","",""
"Eastside Timbers Red B03",1568,21.75,9.42,38,"OR","Gresham","PTT B03 Div 1 Green",""
"Pumas UNAM B03",1568,18.99,10.77,11,"WA","Seattle","",""
"FC Portland White B03",1564,15.89,12.59,20,"OR","Portland","",""
"Academia de Futebol ADF B03",1563,14.79,13.42,29,"OR","Portland","",""
"Kent United Green B03",1560,16.56,11.71,53,"WA","Kent","RCL B03 Div 4",""
"CGA Academy SC Sounders B03",1554,17.65,10.55,13,"ID","","",""
"Tri-Cities B03",1548,17.43,10.27,20,"WA","","PSPL Copa 1 - East U15","WA Cup Silver U15"
"WPFC White B03",1546,12.2,14.41,46,"WA","Tacoma","RCL B03 Div 2",""
"FWFC Blue B03",1546,14.72,11.93,34,"WA","Federal Way","RCL B03 Div 2",""
"NEU White B03",1542,16.1,10.68,18,"OR","Portland","",""
"PCU Red 1 B03",1540,14.94,11.27,26,"OR","Portland","",""
"FC Nova Gold B03",1538,17.9,9.32,21,"ID","Boise","",""
"Crossfire Yakima A B03",1538,24.86,6.71,33,"WA","Yakima","RCL B03 Div 3",""
"Boise Nationals Timbers Blue B03",1536,14.54,11.32,26,"ID","Boise","",""
"Whatcom Rangers Gold B03",1534,18.37,8.84,37,"WA","Bellingham","RCL B03 Div 4",""
"Crossfire Oregon Green I B03",1534,15.6,10.38,35,"OR","Lake Oswego","PTT B03 Div 1 Green",""
"NSC Green B03",1518,16.57,8.76,22,"WA","Woodinvile","NPSL DIVISION 1 (03) U15",""
"THUSC Beryllium Black B03",1512,13.15,10.58,23,"OR","Beaverton","",""
"Central WA SA Rave Green B03",1507,20.61,6.52,13,"WA","Yakima","PSPL WSPL 1 U15","WA Cup Gold U15"
