"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname"
"WA Rush G01",2029,58.14,86.23,13,"WA","Everett","RCL G01 Div 1"
"Eastside FC Red G01",2025,110.95,43.99,9,"WA","Preston","RCL G01 Div 1"
"CWSA Navy G01",2017,95.24,48.46,9,"WA","Yakima","PSPL WNPL U17"
"GS Surf A G01",1987,68.72,54.48,10,"WA","Bothel","RCL G01 Div 1"
"WPFC Black G01",1951,35.14,82.76,12,"WA","Tacoma","RCL G01 Div 1"
"Crossfire OR Blue I G01",1846,29.95,46.95,13,"OR","Tigard",""
"ETFC Cypress Black G01",1771,27.99,29.9,11,"OR","Eugene",""
"Kitsap Alliance Red G01",1766,25.26,31.92,9,"WA","Silverdale","RCL G01 Div 3"
"NPSA Titans Navy G01",1760,25.82,30.09,15,"WA","Bellevue","PSPL WNPL U17"
"ISC Gunners A G01",1757,28.4,26.82,10,"WA","Issaquah","PSPL WNPL U17"
"Seattle United Tango G01",1703,13.64,38.33,9,"WA","Seattle","RCL G01 Div 2"
"NW United Black G01",1659,22.98,16.77,10,"WA","Burlington","RCL G01 Div 3"
"FC Portland Navy G01",1649,17.84,20.13,14,"OR","Portland",""
"Crossfire OR Blue II G01",1641,24.72,13.74,11,"OR","Tigard",""
"Spokane Foxes Premier G01",1637,30.06,10.99,12,"WA","Spokane","PSPL WNPL U17"
"PCU Red 1 G01",1629,25.06,12.53,9,"OR","Portland",""
"WPFC White G01",1615,17.23,16.48,9,"WA","Tacoma",""
"Crossfire Select Wilkinson G01",1577,12.09,18.09,8,"WA","Redmond",""
"FPSC Fury Black G01",1576,14.72,14.75,13,"WA","Tacoma","PSPL WNPL U17"
"Blackhills FC Black G01",1553,14.8,12.53,8,"WA","Olympia","RCL G01 Div 3"
"Pacific FC Blue G01",1510,14.7,9.35,11,"WA","Battleground",""
"Bend FC Timbers Red G01",1501,12.16,10.58,9,"OR","Bend",""
"Crossfire OR CUSC White G01",1499,11.94,10.67,8,"OR","Clackamas",""
"FWFC Blue G01",1481,14.18,7.93,9,"WA","Federal Way",""
"ISC Gunners B G01",1418,11.79,6.14,10,"WA","Issaquah","PSPL Classic U17"
"Snohomish United Black G01",1397,6.71,9.35,9,"WA","Snohomish","RCL G01 Div 2"
"Eastside FC Blue G01",1388,7.17,8.2,9,"WA","Preston","RCL G01 Div 3"
"Washington Timbers White 1 G01",1385,8.45,6.83,13,"WA","Vancouver",""
"TC United Navy G01",1370,11.51,4.52,11,"WA","Lacey","PSPL WSPL U17"
"BIFC Blue G01",1367,6.91,7.37,16,"WA","Bainbridge","NPSL Div 2 (01) U17"
"CSC Velocity Green G01",1351,5.13,8.9,9,"WA","Renton","PSPL Classic U17"
"THUSC Xenon G01",1233,2.85,7.03,9,"OR","Tualatin Hills",""
"Seattle United Shoreline Blue G01",1222,5.15,3.61,9,"WA","Seattle","NPSL Div 2 (01) U17"
"Seattle United W Blue G01",1189,2.87,5.18,11,"WA","Seattle","NPSL Div 2 (01) U17"
