"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"GS Surf A G03",1869,29.25,56.58,13,"WA","Bothel","RCL G03 Div 1","",""
"PacNW Maroon G03",1815,49.91,22.76,16,"WA","Tukwila","RCL G03 Div 1","",""
"HSC GPS Oregon G03",1754,19.78,37.6,11,"OR","Hillsboro","PSPL WNPL U15","",""
"WPFC Black G03",1740,28.97,23.36,26,"WA","Tacoma","RCL G03 Div 1","",""
"Crossfire Premier ECNL G03",1740,38.64,17.47,12,"WA","Redmond","","",""
"Crossfire OR United ECNL G03",1716,31.36,18.24,9,"OR","","","",""
"Crossfire OR Blue I G03",1706,17.3,30.79,10,"OR","Tigard","","PTT Win G03 Premier",""
"Crossfire OR United THUSC G03",1683,31.47,14.47,10,"OR","","PTT G03 Premier","",""
"Harbor Premier Green G03",1662,30.31,13.01,21,"WA","Gig Harbor","RCL G03 Div 2","",""
"Three Rivers SC Black G03",1644,23.51,14.81,20,"WA","Pasco","RCL G03 Div 1","",""
"Breakers Black Swoboda G03",1641,19.43,17.46,27,"WA","Spokane","PSPL WNPL U15","",""
"FC Salmon Creek Nemesis White G03",1618,21.48,13.48,14,"WA","Salmon Creek","","PTT Win G03 Premier",""
"FWFC Blue G03",1610,15.56,17.63,24,"WA","Federal Way","RCL G03 Div 2","",""
"Crossfire Select Tacey G03",1594,16.77,14.61,19,"WA","Redmond","RCL G03 Div 4","",""
"Washington Timbers Red 1 G03",1594,26.26,9.32,27,"WA","Vancouver","PTT G03 Premier","PTT Win G03 Premier",""
"NEU White G03",1570,20,10.41,17,"OR","Portland","PTT G03 Premier","PTT Win G03 Premier",""
"ISC Gunners A G03",1570,17.44,11.94,25,"WA","Issaquah","PSPL WNPL U15","",""
"ETFC Lyon Black G03",1569,15.09,13.7,27,"OR","Eugene","PTT G03 Premier","PTT Win G03 Premier",""
"Spokane Sounders A G03",1566,19.54,10.33,16,"WA","Spokane","RCL G03 Div 2","",""
"Seattle United Copa G03",1557,14.08,13.46,12,"WA","Seattle","RCL G03 Div 1","",""
"Whatcom FC Rangers Gold G03",1549,17.09,10.55,16,"WA","Bellingham","RCL G03 Div 2","",""
"BSC Portland Black G03",1547,17.24,10.32,29,"OR","Portland","PTT G03 Premier","PTT Win G03 Premier",""
"WA Rush G03",1545,18.29,9.59,24,"WA","Everett","RCL G03 Div 1","",""
"Capital FC Timbers Red G03",1545,18.16,9.6,12,"OR","Salem","","PTT Win G03 Premier",""
"Nortac Sparta Red G03",1525,17.96,8.48,25,"WA","Tacoma","PSPL WNPL U15","",""
"Bend FC Timbers Red G03",1515,20.02,7.1,9,"OR","Bend","","",""
"PacNW White G03",1507,12.42,10.82,16,"WA","Tukwila","RCL G03 Div 4","",""
"Dragons FC G03",1507,13.46,9.95,21,"WA","Seattle","PSPL WNPL U15","",""
"Snohomish United Black G03",1501,9.16,14.03,19,"WA","Snohomish","RCL G03 Div 2","",""
"Blackhills FC Black G03",1490,20.72,5.75,25,"WA","Olympia","RCL G03 Div 3","",""
"CSC Storm G03",1483,15.85,7.16,18,"OR","Corvallis","PTT G03 Div 1 Red","PTT Win G03 Div 1 Red",""
"MRFC Blue G03",1482,8.69,13.04,31,"WA","Bonney Lake","PSPL WNPL U15","",""
"IFC GPS G03",1477,16.95,6.45,13,"OR","","PTT G03 Premier","PTT Win G03 Premier",""
"Rogue Valley Timbers Red G03",1475,14.05,7.68,10,"OR","Medford","PTT G03 Premier","",""
"Westside Timbers Copa TS G03",1473,9.29,11.39,27,"OR","Beaverton","PTT G03 Premier","PTT Win G03 Div 1 Red",""
"FPSC Fury Black G03",1467,9.75,10.43,29,"WA","Tacoma","PSPL WNPL U15","",""
"Seattle United Tango G03",1464,11.4,8.75,13,"WA","Seattle","RCL G03 Div 2","",""
"THUSC Emerald G03",1459,12.81,7.5,18,"OR","Tualatin Hills","","PTT Win G03 Premier",""
"PacNW Blue G03",1457,12.19,7.79,15,"WA","Tukwila","RCL G03 Div 2","",""
