name,alt.name,venue
Alaska ODP G03,Alaska ODP 03G,FWRL G03
Albany FC SWAT G03,Albany SWAT,Mt Hood Challenge U14 Silver
Aloha United SC Thorns G03,Aloha Thorns GU14,Mt Hood Challenge U14 Premier
Aloha United SC Thorns G03,Aloha United Thorns,Capital Cup GU14
Aloha United SC Thorns G03,AUCSC 03G Thorns Black,PTT G03 Division 1 Red
Aloha United SC Thorns G03,AUCSC Thorns,Summer Slam Plat/Gold/Silver/Bronze U14
Arsenal FC SD EGSL G03,ARSENAL FC SD 03 EGSL (CAS),Nike Crossfire Challenge Gold Group U14
ASE Emerald G03,ASE - G03 Emerald,Labor Day Cup GU14 Gold
ASE Emerald G03,ASE Emerald,Sounders FC Cup GU14 Gold
ASE Emerald G03,ASE G03 Emerald,PSPL WSPL 1 U14
ASE Royal G03,ASE G03 Royal - Wagner,PSPL-Inland Copa 1 U14
ASE Royal G03,ASE G03 ROYAL WAGNER (WA),Les Schwab NW Cup Girls U14 U14
BDMS Barca G03,BDMS BARCA (CANADA),SX Cup Girls U14 Metro - Tier 2 U14
Bellevue United Harkenrider G03,BUFC Select G03 Harkenrider,NPSL Division 3 (03) U14
Bend FC Timbers Red G03,Bend FC Timbers 03G RED,PTT G03 Premier Red
Bend FC Timbers Red G03,BEND FC TIMBERS 03G RED (OR),Oswego Nike Cup Gold U14
Bend FC Timbers Red G03,BEND FC TIMBERS BFCT 03G RED (OR),Bend Premier Cup Lindsey Horan (Gold) Division U14
Bend FC Timbers White G03,Bend FC Timbers 03G WHITE,PTT G03 Division 2 Red
Bend FC Timbers White G03,BEND FC TIMBERS BFCT 03G WHITE (OR),Bend Premier Cup Mana Shim (Silver) Division U14
Bend FC Timbers White G03,BFCT 03G White,Beaverton Cup GU14 Silver
BGSC Stealth G03,BGSC-U14-DIVISION 1 STEALTH (CANADA),SX Cup Girls U14 Gold - Tier 3 U14
BIFC Blue G03,Bainbridge Island FC 03 Blue,Skagit Firecracker Silver U14
BIFC Blue G03,Bainbridge Island FC Blue G03,Dungeness Cup GU14 Olympic
BIFC Blue G03,Bainbridge Island FC Blue G03,Island Cup GU14
BIFC Blue G03,Bainbridge Island FC Blue G03,NPSL Division 2 (03) U14
Blackhills FC Black G03,Blackhills FC G03 Black,Capital Cup GU14
Blackhills FC Black G03,BLACKHILLS FC G03 BLACK (WA),Nike Crossfire Challenge Gold Group U14
Blackhills FC Black G03,BLACKHILLS FC G03 BLACK (WA),REDAPT Cup Silver U14
Blackhills FC Black G03,Blackhills FC G03 Black A,RCL G03 Div 4
Boise Nationals Timbers Blue G03,BOISE NATIONALS TIMBERS U14 2003 BLUE,Idaho D3 U14G Division 1 U14
Breakers Black G03,Breakers FC G03 Black,Mt Hood Challenge U14 Premier
Breakers Black G03,G03 Breakers Black Swoboda,Sounders FC Cup GU14 Gold
Breakers Black G03,IEYSA Breakers FC - Black G03 Swoboda,PSPL WSPL 1 U14
Breakers Black G03,SPOKANE BREAKERS FCBREAKERS FC G03 BLACK SWOBODA,Pend Orielle Cup Girls U14/15 Gold
Breakers Red Georgeadis G01,BREAKERS FCG01 BREAKERS FC â RED - GEORGEADIS,Pend Orielle Cup Girls U14/15 Silver
Breakers Red Griffiths G03,BREAKERS FC G03 BREAKERS FC RED GRIFFITHS (WA),River City Challenge Girls U14 (2003) U14
Breakers Red Griffiths G03,G03 Breakers FC Red Griffiths,Xtreme Cup GU14
Breakers Red Griffiths G03,IEYSA Breakers FC - Red G03 Griffiths,PSPL-Inland Copa 1 U14
Breakers Red Troudt G03,IEYSA Breakers FC - Red G03 Troudt,PSPL-Inland Copa 2 U14
Breakers White Troudt G03,BREAKERS F.C. G03 BREAKERS WHITE-TROUDT (WA),River City Challenge Girls U14 (2003) U14
Breakers White Troudt G03,BREAKERS F.C.G03 BREAKERS WHITE-TROUDT,Pend Orielle Cup Girls U14/15 Silver
Breakers Wilson G03,Breakers FC G03 Wilson,Mt Hood Challenge U14 Bronze
Breakers Wilson G03,IEYSA Breakers FC - Red G03 T.Wilson,PSPL-Inland Copa 1 U14
Breakers Wilson G03,SPOKANE BREAKERS FC G03 WILSON RED (WA),River City Challenge Girls U14 (2003) U14
Breakers Wilson G03,SPOKANE BREAKERS FCG03 WILSON RED,Pend Orielle Cup Girls U14/15 Silver
BSC Hood River Black G03,BSC Hood River,Summer Slam Plat/Gold/Silver/Bronze U14
BSC Hood River Black G03,BSC HR 03G Black,PTT G03 Division 2 Red
BSC Portland Black G03,BSC 03G Black,PTT G03 Premier White
BSC Portland Gold G03,BSC 03G Black II,PTT G03 Division 1 Red
Calgary Blizzard Bayern G03,CALGARY BLIZZARDS BAYERN (CND),Nike Crossfire Challenge Gold Group U14
Capital FC Timbers Black G03,Capital FC Timbers 03G K. Brouse,PTT G03 Premier Red
Capital FC Timbers Black G03,Capital FC Timbers 03G K. Brouse,FWRL G03
Capital FC Timbers Black G03,CAPITAL FC TIMBERS 2003G BLACK - BROUSE (OR),Bend Premier Cup Nadia Nadim (Silver) Division U14
