"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"Crossfire Premier A G05",1727,21.45,28.84,22,"WA","Redmond","RCL G05 Div 1",""
"Seattle United Copa G05",1530,14.82,10.65,8,"WA","Seattle","RCL G05 Div 1",""
"FC Nova ECNL G05",1510,18.07,7.57,11,"ID","Boise","Idaho D3 Div 1 U14",""
"ISC Gunners A G05",1497,10.19,12.3,28,"WA","Issaquah","PSPL WNPL U13",""
"Eastside FC Reign G05",1448,9.53,9.34,12,"WA","Preston","RCL G05 Div 1",""
"FC Portland Navy G05",1432,6.75,11.84,17,"OR","Portland","PTT G05 Premier Red",""
"WPFC Pre-ECNL G05",1415,8.5,8.38,16,"WA","Tacoma","RCL G05 Div 1",""
"GS Surf A G05",1413,6.95,10.06,18,"WA","Bothel","RCL G05 Div 1",""
"Snohomish United Black G05",1402,9.61,6.75,21,"WA","Snohomish","RCL G05 Div 1",""
"RV Slammers White G05",1372,4.67,11.33,13,"WA","Auburn","RCL G05 Div 2",""
"NEU White G05",1361,6.8,7.17,25,"OR","Portland","PTT G05 Premier Red",""
"FC Edmonds Quiet Riot G05",1284,4.34,6.61,29,"WA","Edmonds","PSPL WNPL U13",""
"PacNW Maroon G05",1272,4.69,5.62,18,"WA","Tukwila","RCL G05 Div 2",""
"Crossfire Premier B G05",1264,7.09,3.52,22,"WA","Redmond","RCL G05 Div 2",""
"ETFC Chelsea Black G05",1251,6.17,3.7,20,"OR","Eugene","PTT G05 Premier Red",""
"THUSC Neon Black G05",1241,5.1,4.16,24,"OR","Tualatin Hills","PTT G05 Premier Red",""
"Washington Timbers Red 1 G05",1225,3.53,5.4,20,"WA","Vancouver","PTT G05 Premier Red",""
"PCU Red 1 G05",1220,4.83,3.8,27,"OR","Portland","PTT G05 Premier Red",""
"Indie Chicas Lime G05",1217,4.57,3.95,15,"ID","Eagle","Idaho D3 Div 1 U14",""
"Spokane Sounders A G05",1214,4.69,3.77,22,"WA","Spokane","RCL G05 Div 1",""
"ASE Emerald G05",1198,7.05,2.25,22,"WA","Pasco","PSPL WNPL U13",""
"Eastside FC White G05",1198,3.89,4.07,27,"WA","Preston","RCL G05 Div 2",""
"Bellevue United Blue Angels G05",1197,3.29,4.77,16,"WA","Bellevue","NPSL Div 1 (05) U13",""
"Crossfire Premier C G05",1196,3.91,3.98,22,"WA","Redmond","RCL G05 Div 2",""
"WA Rush G05",1179,4.41,3.13,20,"WA","Everett","RCL G05 Div 1",""
"Seattle Celtic Green G05",1173,4.29,3.1,17,"WA","Seattle","PSPL WNPL U13",""
"Harbor Premier Green G05",1165,3.68,3.4,18,"WA","Gig Harbor","RCL G05 Div 2",""
"Whatcom FC Rangers Gold G05",1163,5.16,2.39,18,"WA","Bellingham","RCL G05 Div 1",""
"Canyon Optimist Inferno G05",1160,4.84,2.51,14,"ID","","Idaho D3 Div 2 U13",""
"Seattle United Tango G05",1145,4.43,2.47,21,"WA","Seattle","RCL G05 Div 2",""
"WUFC Gold G05",1140,2.17,4.88,24,"OR","West Linn","PTT G05 Premier White",""
"MVP Marauders Navy G05",1121,4.17,2.23,16,"WA","Maple Valley","PSPL WNPL U13",""
"Three Rivers SC Black G05",1111,3.28,2.64,17,"WA","Pasco","RCL G05 Div 3",""
"Cascade Rush Clash G05",1110,4.4,1.95,17,"OR","","PTT G04 Premier White",""
"BSC Portland Black G05",1110,2.25,3.8,20,"OR","Portland","PTT G05 Premier White",""
"Real Boise CF Malaga Fire G05",1098,3.91,2.02,14,"ID","","Idaho D3 Div 2 U13",""
"Idaho Rush Nero G05",1093,3.32,2.29,14,"ID","Boise","Idaho D3 Div 2 U13",""
"Washington Timbers Red 2 G05",1091,3.18,2.37,29,"WA","Vancouver","PTT G05 Div 1 Red SE",""
"Dragons FC G05",1087,4.05,1.81,31,"WA","Seattle","PSPL WSPL 1 U13",""
"Crossfire OR LOSC Blue I G05",1085,3.82,1.88,27,"OR","Lake Oswego","PTT G05 Premier White",""
