"name","alt.name","venue"
"","AYSA Eclipse GU13","SSUL G05 Division 4"
"","AYSA Thunderstrike GU13","SSUL G05 Division 3"
"","CFSC G05 Carter/Middleton","SSUL G05 Division 4"
"","CFSC G05 Gowin","SSUL G05 Division 3"
"","Fircrest Purple Reign","SSUL G05 Division 4"
"","FME Lady Gators - Olson","SSUL G05 Division 3"
"","Harbor G05 Orcas","SSUL G05 Division 3"
"","Harbor G05 Panthers","SSUL G05 Division 4"
"","Harbor G05 Riptide","SSUL G05 Division 4"
"","HELLS CANYON FC 05 NEWHOUSE","Pend Orielle Cup Girls Gold"
"","LSDSC FLASH","SSUL G05 Division 3"
"","REAL BOISE CF MÌÄåÅLAGA FIRE","Idaho D3 Division 2 U13"
"","REAL BOISE CF MÌÄåÅLAGA FIRE","FC Nova Fall Showcase U13 Girls"
"","REAL BOISE CF MÌÄåÅLAGA FIRE (ID)","GEM State Challenge U13G West U13"
"","STU GU13 Earthbenders","SSUL G05 Division 3"
"","UP Blue Thunder","SSUL G05 Division 4"
"","VISC Orcas GU13 2005","SSUL G05 Division 3"
"","WS Bobcats 05-McCaffrey","SSUL G05 Division 3"
"","WS Purple Panthers 05-Drouin","SSUL G05 Division 4"
"Aloha United SC Black G05","ALOHA UNITED BLACK","Clash At the Border Gold/Silver/Bronze"
"Aloha United SC Black G05","AUCSC 05G Black","PTT G05 Division 2 Red West"
"Aloha United SC Black G05","AUCSC 05G Black","OYS Founders Cup G05"
"Aloha United SC Black G05","ALOHA UNITED BLACK (OR)","Oswego Nike Cup Silver White U13"
"Anaheim Surf G05","ANAHEIM SURF (CAS)","Nike Crossfire Challenge Super Group U13"
"ASE Emerald G05","ASE G05 EMERALD - WOODS","NW Champions Cup GIRLS 05"
"ASE Emerald G05","ASE G05 EMERALD - WOODS (WA)","Nike Crossfire Challenge Gold Group U13"
"ASE Emerald G05","ASE G05 EMERALD - WOODS (WA)","Bend Premier Cup Kendall Johnson (Silver) Division U13"
"ASE Emerald G05","ASE G05 Emerald-Woods","PSPL WNPL U13"
"ASE Royal G05","ASE Royal 05-Safranski","PSPL Copa 1 - East U13"
"ASE Royal G05","ASE Safranski 05","Eastside FC Cup GU13 Silver"
"Bellevue United Blue Angels G05","BUFC G05 Robinson","NPSL Division 1 (05) U13"
"Bellevue United Blue Angels G05","Bellevue United G05 Select","Skagit Firecracker Div. 2 U13"
"Bend FC Timbers Red G05","BEND FC TIMBERS 05 GIRLS RED (OR)","Oswego Nike Cup Silver Blue U13"
"Bend FC Timbers Red G05","Bend FC Timbers 05G","PTT G05 Premier White"
"Bend FC Timbers Red G05","BEND FC TIMBERS 05G RED (USA)","Bend Premier Cup Tobin Heath (Gold) Division U13"
"Bend FC Timbers White G05","BEND FC TIMBERS 05 GIRLS WHITE","Clash At the Border Gold/Silver/Bronze"
"Bend FC Timbers White G05","Bend FC Timbers 05G White","PTT G05 Division 2 Red South"
"Bend FC Timbers White G05","BEND FC TIMBERS 05G WHITE (USA)","Bend Premier Cup Ashley Herndon (Silver) Division U13"
"BFC Galaxy G05","BFC 05G Galaxy","PTT G05 Division 2 Red South"
"BIFC Blue G05","Bainbridge Island FC 05 Girls","Skagit Firecracker Div. 3 U13"
"BIFC Blue G05","Bainbridge Island FC G05 Blue","NPSL Division 2 (05) U13"
"Blackhills FC Black G05","49 Blackhills G05 Black","Rimland Challenge U13"
"Blackhills FC Black G05","BLACKHILLS FC G05 BLACK","Clash At the Border Gold/Silver/Bronze"
"Blackhills FC Black G05","BLACKHILLS FC G05 BLACK (WA)","Nike Crossfire Challenge Silver Group U13"
"Blackhills FC Black G05","Blackhills FC G05 Black A","RCL G05 Div 3"
"Breakers Black G05","IEYSA G05 Breakers FC Lewis","PSPL WSPL 2 U13"
"Breakers Black G05","SPOKANE BREAKERS FC - G05 BLACK","Pend Orielle Cup Girls Gold"
"Breakers Black G05","SPOKANE BREAKERS FC BREAKERS FC- G05 BLACK (WA)","River City Cup U13 (2005) U13"
"Breakers Red Antoniuk G05","IEYSA G05 Breakers FC Red Antiouk","PSPL Copa 1 - East U13"
"Breakers Red Antoniuk G05","SPOKANE BREAKERS FC - RED G05 ANTONIUK","Pend Orielle Cup Girls Silver"
"Breakers White G05","SPOKANE BREAKERS FC - 05 GAMACHE WHITE","Pend Orielle Cup Girls Silver"
"Breakers White G05","IEYSA G05 Breakers FC White Gamache","PSPL Copa 1 - East U13"
"Breakers White G05","Breakers FC G05 White Gamache","Mt Hood Challenge U13 Bronze"
"Bridger Valley SC G04","BRIDGER VALLEY BVSC '04 GIRLS","Yellowstone Cup Girls U13/14 Bronze"
"BSC Portland Black G05","BSC 05G Black","PTT G05 Premier White"
"BSC Portland Black G05","BSC 05G Black","Beaverton Cup U13 Gold"
"BSC Portland Black G05","BSC 05G Black","Mt Hood Challenge U13 Premier"
"BSC Portland Gold G05","BSC 05G Gold","PTT G05 Division 2 Red West"
"BSC Portland Gold G05","BSC 05G Gold","Mt Hood Challenge U13 Bronze"
"Calgary Blizzard Wolves G05","CALGARY BLIZZARD SC05 WOLVES (CND)","SX Cup Girls U13 Premier - Tier 1 U13"
"Calgary Foothills G05","CALGARY FOOTHILLS 05 (CND)","Nike Crossfire Challenge Super Group U13"
"Canyon Optimist Inferno G05","INFERNO","Idaho D3 Division 2 U13"
"Canyon Optimist Inferno G05","INFERNO (ID)","GEM State Challenge U13G East U13"
"Canyon Optimist Inferno G05","INFERNO 05 GIRLS","FC Nova Fall Showcase U13 Girls"
"Capital FC Timbers Red G05","Capital FC Timbers 05G Agee","PTT G05 Premier Red"
"Capital FC Timbers Red G05","CAPITAL FC TIMBERS U13 GIRLS -AGEE (OR)","Oswego Nike Cup Gold U13"
"Capital FC Timbers Red G05","CAPITAL FC TIMBERS U13 GIRLS -AGEE (OR)","Bend Premier Cup Tobin Heath (Gold) Division U13"
"Cascade FC Green G05","Cascade FC G05","Starfire Spring Classic GU13 Silver"
"Cascade FC Green G05","Cascade FC G05","PSPL WSPL 2 U13"
"Cascade FC Green G05","CASCADE FC G05 (USA)","Bend Premier Cup Ashley Herndon (Silver) Division U13"
"Cascade Rush Rebels G05","CASCADE RUSH REBELS (OR)","Bend Premier Cup Kendall Johnson (Silver) Division U13"
"CFC Strikers G05","88 CFC Strikers","Baker Blast U13"
"Cheney Storm FC B G05","STORM FC SEATON (WA)","River City Challenge Girls U13 (2005) U13"
"Cheney Storm FC B G05","IEYSA G05 Storm FC Seaton","PSPL Copa 2 - East U13"
"Cheney Storm FC G05","FC STORM HEUETT (WA)","Bigfoot Gold U13"
"Cheney Storm FC G05","IEYSA G05 Storm FC Heuett","PSPL Classic 1 - East U13"
