"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname"
"PacNW Maroon G99",2224,174.11,111.17,8,"WA","Tukwila","RCL G99 Div 1",""
"Eastside FC Reign 2 G99",2155,119.45,100.24,11,"WA","Preston","RCL G99 Div 1",""
"ISC Gunners A G99",2011,89.04,49.68,17,"WA","Issaquah","",""
"GS Surf A G99",1950,46.98,61.64,8,"WA","Bothel","RCL G99 Div 2",""
"ETFC Athletica Black G99",1949,73.85,39.02,8,"OR","Eugene","","PTT Win G99 Premier"
"Westside Timbers Copa TS G99",1927,22.07,112.13,10,"OR","Beaverton","","PTT Win G99 Premier"
"Harbor Premier Green G99",1920,36.38,64.8,17,"WA","Gig Harbor","RCL G99 Div 2",""
"PacNW Blue G99",1914,49.54,45.67,14,"WA","Tukwila","RCL G99 Div 3",""
"Whatcom FC Rangers Gold G99",1912,61.43,36.24,13,"WA","Bellingham","RCL G99 Div 2",""
"WPFC Black G99",1892,71.39,27.05,15,"WA","Tacoma","RCL G99 Div 2",""
"Eastside FC Red G99",1884,49.16,37.3,8,"WA","Preston","RCL G99 Div 2",""
"Eastside Timbers Red G99",1869,38.14,43.36,11,"OR","Gresham","","PTT Win G99 Premier"
"WA Rush G99",1864,53.3,29.9,15,"WA","Everett","RCL G99 Div 2",""
"CWSA Navy G99",1850,34.12,42.38,8,"WA","Yakima","PSPL WSPL 1 U19",""
"Washington Timbers Red 1 G99",1847,41.39,34.19,24,"WA","Vancouver","","PTT Win G99 Premier"
"Crossfire Select Pfeifer G99",1841,38.74,35.08,11,"WA","Redmond","NPSL Div 1 (99) U19",""
"MRFC Blue G99",1822,34.85,34.18,15,"WA","Bonney Lake","PSPL WNPL U19",""
"FC Salmon Creek Nemesis White G99",1818,47.39,24.47,19,"WA","Salmon Creek","","PTT Win G99 Premier"
"Crossfire Select Mallalieu G99",1771,27.95,29.87,19,"WA","Redmond","NPSL Div 1 (99) U19",""
"Blackhills FC Black G99",1755,31.84,23.54,20,"WA","Olympia","RCL G99 Div 3",""
"Thelo Chaos G99",1753,22.9,32.29,20,"OR","Milwaukie","","PTT Win G99 Premier"
"Seattle United Copa G99",1736,39.32,16.66,12,"WA","Seattle","RCL G99 Div 2",""
"BIFC Blue G99",1733,26.51,24.3,15,"WA","Bainbridge","NPSL Div 1 (99) U19",""
"Seattle United W Blue G99",1716,14.89,38.48,13,"WA","Seattle","NPSL Div 2 (99) U19",""
"WPFC White G99",1707,27.26,19.68,18,"WA","Tacoma","RCL G99 Div 3",""
"Crossfire OR Blue I G99",1689,23.06,20.59,20,"OR","Tigard","","PTT Win G99 Premier"
"Crossfire Premier A G99",1665,16.57,24.16,14,"WA","Redmond","RCL G99 Div 2",""
"PCU Red Storm G99",1633,32.28,9.98,14,"OR","Portland","","PTT Win G99 Div 1"
"MRFC White G99",1623,12.5,23.99,16,"WA","Bonney Lake","PSPL WSPL 1 U19",""
"FPSC Fury Black G99",1618,18.65,15.51,19,"WA","Tacoma","PSPL WSPL 1 U19",""
"Newport FC G99",1616,17.29,16.5,16,"WA","Bellevue","NPSL Div 1 (99) U19",""
"RV Slammers Orange G99",1607,18.24,14.75,14,"WA","Auburn","RCL G99 Div 3",""
"Eastside FC White G99",1580,15.07,14.82,17,"WA","Preston","RCL G99 Div 3",""
"FC Edmonds Fusion G99",1570,20.77,10.03,13,"WA","Edmonds","PSPL WSPL 2 U19",""
"Lake Hills Infinity G99",1563,16.46,12.05,9,"WA","Bellevue","NPSL Div 1 (99) U19",""
"Seattle United Shoreline Blue G99",1543,15.65,11.05,16,"WA","Seattle","NPSL Div 2 (99) U19",""
"Breakers Black Wilson G99",1516,13.94,10.28,9,"WA","Spokane","PSPL WSPL 2 U19",""
"FC Bellevue G99",1507,14.45,9.28,11,"WA","Bellevue","PSPL WSPL 2 U19",""
"FME Fusion G99",1497,14.77,8.49,14,"WA","Fife","NPSL Div 2 (99) U19",""
"Highline Premier Blue G99",1487,13.41,8.73,9,"WA","Burien","PSPL Classic U19",""
"Crossfire Premier B G99",1486,11.72,9.89,9,"WA","Redmond","RCL G99 Div 3",""
"Pacific FC White Lightning G99",1447,13.03,6.79,14,"WA","Battleground","","PTT Win G99 Div 1"
"Tracyton Force G99",1379,6.02,9.21,9,"WA","Tracyton","",""
"Mukilteo Rush G99",1373,10.87,4.9,12,"WA","Mukilteo","NPSL Div 2 (99) U19",""
